BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,1,0,1,0.0003663410827046331,0.0008094780386421779,1910,2300000.0,RESIDENTIAL
Manhattan,1,0,1,0.0003937752761156966,0.0008532047838125722,1910,1510000.0,RESIDENTIAL
Manhattan,1,0,1,0.0004018163328051463,0.0009651879116879723,1910,3050000.0,RESIDENTIAL
Manhattan,1,0,1,0.0004018163328051463,0.0009427912861128923,1901,1595790.0,RESIDENTIAL
Manhattan,1,0,1,0.00035191448099709105,0.0010534412815135852,1899,2200000.0,RESIDENTIAL
Manhattan,1,0,1,0.000338433885958896,0.0009574557433346709,1899,2100000.0,RESIDENTIAL
Manhattan,1,0,1,0.00047300333467350944,0.0008987979144475565,1899,3200000.0,RESIDENTIAL
Manhattan,1,0,1,0.00044935316793983396,0.0010990344121485696,1899,3535000.0,RESIDENTIAL
Manhattan,1,0,1,0.00047300333467350944,0.0008958650230032008,1899,1000000.0,RESIDENTIAL
Manhattan,2,0,2,0.0005250337014875955,0.0013699269310090613,1899,1386200.0,RESIDENTIAL
Manhattan,2,0,2,0.0005907811650072133,0.0007998794848242865,1909,3750000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003987418111297685,0.0009107961067199208,1900,2450000.0,RESIDENTIAL
Manhattan,2,0,2,0.0002911335524915451,0.0008638698436102294,1899,1550000.0,RESIDENTIAL
Manhattan,2,0,2,0.00038195019274885885,0.0008873329751650751,1998,2800000.0,RESIDENTIAL
Manhattan,2,0,2,0.00042972352955088336,0.00133419898068691,1900,3500000.0,RESIDENTIAL
Manhattan,2,1,3,0.000562164463259466,0.001067039232755598,1910,3650000.0,MIXED USE
Manhattan,2,0,2,0.00042546649953882176,0.0009598553817891437,1899,1670000.0,RESIDENTIAL
Manhattan,2,0,2,0.00042546649953882176,0.0009598553817891437,1899,1310000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003937752761156966,0.0009225276724973438,1914,2175000.0,RESIDENTIAL
Manhattan,2,0,2,0.000413641416171984,0.0006998945492212507,1910,850000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003781661660714708,0.0008532047838125722,1899,2000000.0,RESIDENTIAL
Manhattan,2,0,2,0.00038195019274885885,0.0010238457405750867,1899,500000.0,RESIDENTIAL
Manhattan,2,0,2,0.000377929664404134,0.0006239059981629435,1899,2460000.0,RESIDENTIAL
Manhattan,2,0,2,0.0004018163328051463,0.0010665059797657153,1910,2950000.0,RESIDENTIAL
Manhattan,2,0,2,0.00034813045431970294,0.000906530082800858,1901,1550000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003545159993377953,0.0007998794848242865,1899,1625000.0,RESIDENTIAL
Manhattan,2,0,2,0.00017879526050658658,0.0011518264581469725,1901,3450000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003176217392332616,0.000906530082800858,1899,2000000.0,RESIDENTIAL
Manhattan,2,0,2,0.0007173095570323771,0.0021596746090255733,1910,4300000.0,RESIDENTIAL
Manhattan,3,0,3,0.00038195019274885885,0.0008873329751650751,1909,1730000.0,RESIDENTIAL
Manhattan,3,0,3,0.00047253033133883596,0.0008142773155511236,1910,2685000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004429676229217416,0.0008121443035915922,1909,2505000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004018163328051463,0.000760418763572955,1900,1980000.0,RESIDENTIAL
Manhattan,3,0,3,0.00042972352955088336,0.0009598553817891437,1910,3250000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004018163328051463,0.0007054937056150207,1910,2390000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004018163328051463,0.0006921623808679492,1910,60000.0,RESIDENTIAL
Manhattan,3,0,3,0.000590071660005203,0.0008891993606296652,2000,2200000.0,RESIDENTIAL
Manhattan,3,0,3,0.0003937752761156966,0.0008883994811448409,1910,2675000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004018163328051463,0.000906530082800858,1910,1925000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004018163328051463,0.000906530082800858,1910,1700000.0,RESIDENTIAL
Manhattan,3,0,3,0.0004313790412222406,0.0008851999632055437,2000,1920000.0,RESIDENTIAL
Manhattan,29,2,31,0.0015767566161341438,0.0063030503404153775,1920,13650000.0,MIXED USE
Manhattan,4,0,4,0.00039779580446042145,0.0007198915363418578,1909,1320000.0,RESIDENTIAL
Manhattan,4,0,4,0.00039779580446042145,0.0007198915363418578,1909,180000.0,RESIDENTIAL
Manhattan,28,2,30,0.0014899605042215547,0.004772614259451576,1909,6438317.0,MIXED USE
Manhattan,5,0,5,0.00042546649953882176,0.001227281756215397,1909,842500.0,RESIDENTIAL
Manhattan,4,0,4,0.00029539058250360663,0.0005487173265894606,1910,1431326.0,RESIDENTIAL
Manhattan,4,0,4,0.00030059361918501526,0.0013776590993623628,1910,2125000.0,RESIDENTIAL
Manhattan,4,0,4,0.00047726036468557104,0.0007982797258546379,1900,1100000.0,RESIDENTIAL
Manhattan,16,0,16,0.0006217628834283282,0.002266325207002145,1900,4400000.0,RESIDENTIAL
